id,y,z,x,location
144208,-1151.163858219,-2127.144657956,-3018.973229771,barrel
144209,-1145.646735121,-2133.039612716,-3021.049727868,barrel
144210,-1138.110204814,-2135.197315913,-3023.886277019,barrel
144211,-1130.573674506,-2133.039612716,-3026.72282617,barrel
144212,-1125.056551408,-2127.144657956,-3028.799324267,barrel
144213,-1128.814911955,-2119.092,-3023.226365025,barrel
144214,-1132.777100415,-2111.759306055,-3021.735102886,barrel
144215,-1140.701477336,-2111.759306055,-3018.752578606,barrel
144216,-1144.663665796,-2119.092,-3017.261316466,barrel
144217,-1140.701477336,-2126.424693945,-3018.752578606,barrel
144218,-1132.777100415,-2126.424693945,-3021.735102886,barrel
144219,-1136.266903437,-2119.092,-3018.988742742,barrel
144301,-1868.878246065,-2119.092,-2635.666241622,barrel
144302,-1870.632127955,-2111.039342044,-2634.409427634,barrel
144303,-1875.423822387,-2105.144387284,-2630.975747962,barrel
144304,-1881.969398709,-2102.986684087,-2626.285254302,barrel
144305,-1888.514975031,-2105.144387284,-2621.594760642,barrel
144306,-1893.306669464,-2111.039342044,-2618.16108097,barrel
144307,-1895.060551353,-2119.092,-2616.904266982,barrel
144308,-1893.306669464,-2127.144657956,-2618.16108097,barrel
144309,-1888.514975031,-2133.039612716,-2621.594760642,barrel
144310,-1881.969398709,-2135.197315913,-2626.285254302,barrel
144311,-1875.423822387,-2133.039612716,-2630.975747962,barrel
144312,-1870.632127955,-2127.144657956,-2634.409427634,barrel
144313,-1872.820037483,-2119.092,-2628.053627086,barrel
144314,-1876.261250602,-2111.759306055,-2625.587688638,barrel
144315,-1883.14367684,-2111.759306055,-2620.655811741,barrel
144316,-1886.584889959,-2119.092,-2618.189873293,barrel
144317,-1883.14367684,-2126.424693945,-2620.655811741,barrel
144318,-1876.261250602,-2126.424693945,-2625.587688638,barrel
144319,-1878.921331159,-2119.092,-2622.031680962,barrel
144401,-2487.35838393,-2119.092,-2062.156809202,barrel
144402,-2488.727216347,-2111.039342044,-2060.488882076,barrel
144403,-2492.466936057,-2105.144387284,-2055.932020424,barrel
144404,-2497.575488185,-2102.986684087,-2049.707231647,barrel
144405,-2502.684040312,-2105.144387284,-2043.482442869,barrel
144406,-2506.423760022,-2111.039342044,-2038.925581217,barrel
144407,-2507.792592439,-2119.092,-2037.257654091,barrel
144408,-2506.423760022,-2127.144657956,-2038.925581217,barrel
144409,-2502.684040312,-2133.039612716,-2043.482442869,barrel
144410,-2497.575488185,-2135.197315913,-2049.707231647,barrel
144411,-2492.466936057,-2133.039612716,-2055.932020424,barrel
144412,-2488.727216347,-2127.144657956,-2060.488882076,barrel
144413,-2489.195572437,-2119.092,-2053.783377525,barrel
144414,-2491.881297228,-2111.759306055,-2050.510812398,barrel
144415,-2497.25274681,-2111.759306055,-2043.965682145,barrel
144416,-2499.938471601,-2119.092,-2040.693117018,barrel
144417,-2497.25274681,-2126.424693945,-2043.965682145,barrel
144418,-2491.881297228,-2126.424693945,-2050.510812398,barrel
144419,-2493.530375227,-2119.092,-2046.387493236,barrel
144501,-717.992556383,-2401.828,-3150.226837043,barrel
144502,-720.093893854,-2393.775342044,-3149.736873864,barrel
144503,-725.834854588,-2387.880387284,-3148.398269566,barrel
144504,-733.677152794,-2385.722684087,-3146.56970209,barrel
144505,-741.519451,-2387.880387284,-3144.741134614,barrel
144506,-747.260411734,-2393.775342044,-3143.402530316,barrel
144507,-749.361749205,-2401.828,-3142.912567138,barrel
144508,-747.260411734,-2409.880657956,-3143.402530316,barrel
144509,-741.519451,-2415.775612716,-3144.741134614,barrel
